Scenario,ScenName,Activity,Year,Median,CI_High,CI_Low
1,Lim,ifm,23,-3.931264462,-3.781445934,-4.072952042
1,Lim,ifm,24,-3.938702714,-3.796932662,-4.073903615
1,Lim,ifm,25,-3.954927783,-3.806883365,-4.098939291
1,Lim,ifm,26,-3.967051293,-3.82688783,-4.109167066
1,Lim,ifm,27,-3.97893963,-3.828670633,-4.128483013
1,Lim,ifm,28,-3.986192258,-3.825896843,-4.130728657
1,Lim,ifm,29,-3.995629104,-3.844324574,-4.142501907
1,Lim,ifm,30,-4.008455054,-3.859488644,-4.158212681
1,Lim,ifm,31,-4.021808437,-3.877310258,-4.160446887
1,Lim,reforest,1,-0.001729622,-0.000295568,-0.003130866
1,Lim,reforest,2,-0.003291228,-0.001740556,-0.005394396
1,Lim,reforest,3,-0.005016244,-0.003169355,-0.007111801
1,Lim,reforest,4,-0.006485946,-0.004536331,-0.008645788
1,Lim,reforest,5,-0.007884284,-0.00549771,-0.010377823
1,Lim,reforest,6,-0.009251707,-0.006629426,-0.011801431
1,Lim,reforest,7,-0.010649445,-0.007646189,-0.013283563
1,Lim,reforest,8,-0.011877121,-0.008847114,-0.014449746
1,Lim,reforest,9,-0.012810005,-0.009602873,-0.01570781
1,Lim,reforest,10,-0.01342905,-0.009908857,-0.01593666
1,Lim,reforest,11,-0.013326525,-0.009782632,-0.015953373
1,Lim,reforest,12,-0.013321052,-0.009721047,-0.0158775
1,Lim,reforest,13,-0.013278232,-0.009595042,-0.015872681
1,Lim,reforest,14,-0.013210776,-0.00948534,-0.01579018
1,Lim,reforest,15,-0.013348726,-0.009634688,-0.015970923
1,Lim,reforest,16,-0.015335195,-0.011245313,-0.018400055
1,Lim,reforest,17,-0.017551548,-0.013284932,-0.020725961
1,Lim,reforest,18,-0.019432478,-0.015126562,-0.022635216
1,Lim,reforest,19,-0.021264609,-0.017806894,-0.024432354
1,Lim,reforest,20,-0.022979622,-0.019770023,-0.027038693
1,Lim,reforest,21,-0.024403892,-0.021195277,-0.028888616
1,Lim,reforest,22,-0.025940902,-0.023110083,-0.03047376
1,Lim,reforest,23,-0.027552462,-0.024665893,-0.03197499
1,Lim,reforest,24,-0.029136811,-0.025994197,-0.033466486
1,Lim,reforest,25,-0.03006703,-0.026910892,-0.034486372
1,Lim,reforest,26,-0.030780924,-0.027702606,-0.034971175
1,Lim,reforest,27,-0.031460979,-0.028382689,-0.035304854
1,Lim,reforest,28,-0.032036018,-0.02875125,-0.036052759
1,Lim,reforest,29,-0.032574466,-0.029112616,-0.036603438
1,Lim,reforest,30,-0.033202996,-0.02988748,-0.036994011
1,Lim,reforest,31,-0.033659451,-0.030430464,-0.037506906
1,Lim,rref,1,-5.72E-05,-5.63E-05,-5.79E-05
1,Lim,rref,2,-0.000167089,-0.000164607,-0.000169293
1,Lim,rref,3,-0.000325991,-0.000321489,-0.000330843
1,Lim,rref,4,-0.000530043,-0.000522788,-0.000537358
1,Lim,rref,5,-0.000775885,-0.000764685,-0.000786756
1,Lim,rref,6,-0.001060404,-0.001046139,-0.00107503
1,Lim,rref,7,-0.001380629,-0.001360647,-0.001400266
1,Lim,rref,8,-0.001734091,-0.001709301,-0.001759028
1,Lim,rref,9,-0.002117159,-0.002087519,-0.002147659
1,Lim,rref,10,-0.002530421,-0.002493356,-0.00256645
1,Lim,rref,11,-0.002912398,-0.002870042,-0.00295128
1,Lim,rref,12,-0.003264274,-0.003219446,-0.003311639
1,Lim,rref,13,-0.003591971,-0.00353894,-0.003644053
1,Lim,rref,14,-0.003890553,-0.003836524,-0.003946075
1,Lim,rref,15,-0.004170869,-0.00411133,-0.004230376
1,Lim,rref,16,-0.004427587,-0.004359455,-0.004491781
1,Lim,rref,17,-0.004667452,-0.004606416,-0.004740335
1,Lim,rref,18,-0.00488988,-0.00482356,-0.004959948
1,Lim,rref,19,-0.005093904,-0.005021206,-0.005166219
1,Lim,rref,20,-0.005282844,-0.00521148,-0.00535426
1,Lim,rref,21,-0.005454605,-0.00538185,-0.005536331
1,Lim,rref,22,-0.005619622,-0.005543936,-0.005703516
1,Lim,rref,23,-0.005769243,-0.005687751,-0.005854824
1,Lim,rref,24,-0.005910803,-0.005819371,-0.005989414
1,Lim,rref,25,-0.006039595,-0.005954925,-0.006118728
1,Lim,rref,26,-0.006155599,-0.006077071,-0.006243416
1,Lim,rref,27,-0.006266185,-0.00617827,-0.006345526
1,Lim,rref,28,-0.00636418,-0.006275544,-0.006460676
1,Lim,rref,29,-0.006460323,-0.006373236,-0.006550718
1,Lim,rref,30,-0.006542896,-0.006452208,-0.006639234
1,Lim,rref,31,-0.006621666,-0.006536545,-0.006723702
1,Lim,sage,1,-0.000334272,-0.000270025,-0.000399339
1,Lim,sage,2,-0.000715585,-0.0005929,-0.000839102
1,Lim,sage,3,-0.001141472,-0.000954043,-0.001329481
1,Lim,sage,4,-0.001599681,-0.001352566,-0.001855532
1,Lim,sage,5,-0.002098752,-0.001764037,-0.002425362
1,Lim,sage,6,-0.002653195,-0.002280658,-0.003039999
1,Lim,sage,7,-0.003216587,-0.002729388,-0.003661513
1,Lim,sage,8,-0.003842514,-0.003323596,-0.004376719
1,Lim,sage,9,-0.004513243,-0.003889277,-0.005081834
1,Lim,sage,10,-0.005190959,-0.004473059,-0.005852731
1,Lim,sage,11,-0.005625031,-0.004936935,-0.006304814
1,Lim,sage,12,-0.006038042,-0.005284571,-0.006817605
1,Lim,sage,13,-0.006351505,-0.005617328,-0.007181244
1,Lim,sage,14,-0.006814177,-0.00596915,-0.007688113
1,Lim,sage,15,-0.007184785,-0.006291534,-0.008038818
1,Lim,sage,16,-0.007622176,-0.006714065,-0.008489959
1,Lim,sage,17,-0.007956825,-0.006987604,-0.008872951
1,Lim,sage,18,-0.008302495,-0.007348258,-0.009239678
1,Lim,sage,19,-0.008722763,-0.007748899,-0.009665621
1,Lim,sage,20,-0.009064408,-0.008101553,-0.010110697
1,Lim,sage,21,-0.009419886,-0.008318854,-0.010520615
1,Lim,sage,22,-0.00986097,-0.008681549,-0.010975269
1,Lim,sage,23,-0.010141527,-0.009010008,-0.011419168
1,Lim,sage,24,-0.01048801,-0.009212737,-0.011720998
1,Lim,sage,25,-0.010845515,-0.009621942,-0.012215828
1,Lim,sage,26,-0.01122498,-0.009917457,-0.012497115
1,Lim,sage,27,-0.011522726,-0.010202456,-0.012882076
1,Lim,sage,28,-0.011842242,-0.010435401,-0.013207508
1,Lim,sage,29,-0.012238144,-0.010774184,-0.013664106
1,Lim,sage,30,-0.012580172,-0.011048598,-0.0139171
1,Lim,sage,31,-0.012868887,-0.011450415,-0.014384501
1,Lim,tide,1,-0.000122856,-0.000113586,-0.000132619
1,Lim,tide,2,-0.000367241,-0.000339314,-0.000393948
1,Lim,tide,3,-0.000731067,-0.000676064,-0.000783483
1,Lim,tide,4,-0.001214706,-0.001123764,-0.001307499
1,Lim,tide,5,-0.001812918,-0.001674292,-0.001961088
1,Lim,tide,6,-0.002528107,-0.002337242,-0.00272282
1,Lim,tide,7,-0.003368123,-0.00312411,-0.00360783
1,Lim,tide,8,-0.004316309,-0.003973573,-0.00464562
1,Lim,tide,9,-0.005380527,-0.004972421,-0.005742749
1,Lim,tide,10,-0.006570211,-0.006087346,-0.007063297
1,Lim,tide,11,-0.007709497,-0.007128988,-0.008295245
1,Lim,tide,12,-0.008858,-0.008203135,-0.009522697
1,Lim,tide,13,-0.009997566,-0.00923121,-0.010799514
1,Lim,tide,14,-0.011135794,-0.010259976,-0.011972699
1,Lim,tide,15,-0.012239238,-0.011366853,-0.013187143
1,Lim,tide,16,-0.013351211,-0.012349246,-0.014249696
1,Lim,tide,17,-0.014359198,-0.013343364,-0.015540424
1,Lim,tide,18,-0.015537497,-0.014345454,-0.016745236
1,Lim,tide,19,-0.016637527,-0.015384754,-0.017879732
1,Lim,tide,20,-0.017694969,-0.016398175,-0.019134634
1,Lim,tide,21,-0.018653588,-0.017256946,-0.020184313
1,Lim,tide,22,-0.019751321,-0.018159096,-0.021297548
1,Lim,tide,23,-0.020769408,-0.01920067,-0.022340028
1,Lim,tide,24,-0.021771719,-0.02014719,-0.023382294
1,Lim,tide,25,-0.022782177,-0.021012537,-0.024554314
1,Lim,tide,26,-0.023735941,-0.021966667,-0.025575262
1,Lim,tide,27,-0.02473294,-0.023000235,-0.02665108
1,Lim,tide,28,-0.025860169,-0.023954856,-0.027796561
1,Lim,tide,29,-0.026612897,-0.024723775,-0.028698456
1,Lim,tide,30,-0.027712908,-0.02567671,-0.029904468
1,Lim,tide,31,-0.028751718,-0.026559749,-0.030906418
2,Amb,ACF,1,-0.111785776,-0.100629477,-0.12281921
2,Amb,ACF,2,-0.226129645,-0.202387969,-0.246334137
2,Amb,ACF,3,-0.336154559,-0.303428884,-0.367308127
2,Amb,ACF,4,-0.450339518,-0.404608841,-0.495244269
2,Amb,ACF,5,-0.561636241,-0.503442259,-0.624243132
2,Amb,ACF,6,-0.67628162,-0.612930581,-0.743174029
2,Amb,ACF,7,-0.790013772,-0.712260141,-0.866250411
2,Amb,ACF,8,-0.902422617,-0.814727511,-0.989213868
2,Amb,ACF,9,-1.017187718,-0.915735589,-1.110256398
2,Amb,ACF,10,-1.131993416,-1.019000984,-1.252952782
2,Amb,ACF,11,-1.132433898,-1.023766112,-1.240639905
2,Amb,ACF,12,-1.137423545,-1.024949072,-1.249541177
2,Amb,ACF,13,-1.140060833,-1.031109751,-1.247253986
2,Amb,ACF,14,-1.144125975,-1.034473491,-1.253574056
2,Amb,ACF,15,-1.140307426,-1.025637793,-1.250297729
2,Amb,ACF,16,-1.140601193,-1.031620424,-1.25276041
2,Amb,ACF,17,-1.145885831,-1.032480774,-1.260058982
2,Amb,ACF,18,-1.140698308,-1.039899125,-1.254000245
2,Amb,ACF,19,-1.148974891,-1.035068298,-1.264666788
2,Amb,ACF,20,-1.145556062,-1.037000946,-1.256176805
2,Amb,ACF,21,-1.155588022,-1.030973311,-1.25532507
2,Amb,ACF,22,-1.15161552,-1.045850663,-1.268331953
2,Amb,ACF,23,-1.152919325,-1.040685611,-1.258009606
2,Amb,ACF,24,-1.15359694,-1.03973891,-1.268895461
2,Amb,ACF,25,-1.152997396,-1.036114002,-1.269833813
2,Amb,ACF,26,-1.161167583,-1.045468938,-1.275367827
2,Amb,ACF,27,-1.156033336,-1.047254653,-1.26685466
2,Amb,ACF,28,-1.15824068,-1.048634473,-1.273418113
2,Amb,ACF,29,-1.156739294,-1.048906995,-1.264245332
2,Amb,ACF,30,-1.157114218,-1.046955454,-1.265399004
2,Amb,ACF,31,-1.158779653,-1.047521512,-1.272436551
2,Amb,ag,1,-0.073826064,-0.066843993,-0.079524769
2,Amb,ag,2,-0.146915075,-0.133693071,-0.159663971
2,Amb,ag,3,-0.21998538,-0.200109971,-0.23990862
2,Amb,ag,4,-0.296030498,-0.270080258,-0.320747164
2,Amb,ag,5,-0.367831766,-0.335620736,-0.398406127
2,Amb,ag,6,-0.44306933,-0.404837771,-0.479661159
2,Amb,ag,7,-0.515289588,-0.47158485,-0.562309845
2,Amb,ag,8,-0.590136148,-0.540051971,-0.641619215
2,Amb,ag,9,-0.662881383,-0.605574802,-0.720294603
2,Amb,ag,10,-0.734768905,-0.671648942,-0.798844425
2,Amb,ag,11,-0.765687196,-0.702311313,-0.830730326
2,Amb,ag,12,-0.799908408,-0.731177156,-0.867203962
2,Amb,ag,13,-0.830549581,-0.758900272,-0.901239158
2,Amb,ag,14,-0.860161124,-0.787534228,-0.936724434
2,Amb,ag,15,-0.894058984,-0.817323555,-0.964259718
2,Amb,ag,16,-0.926323244,-0.852711816,-0.998987058
2,Amb,ag,17,-0.951566888,-0.875112328,-1.032989028
2,Amb,ag,18,-0.985725002,-0.904994665,-1.064422292
2,Amb,ag,19,-1.022919769,-0.94204854,-1.108877835
